model,mode,image_id,level,n_persons_gt,rep,n_input,n_generated,n_think_tokens,n_answer_tokens,ttft_ms,latency_ms,decode_tps,total_tps,peak_mem_bytes,budget_hit,think_closed,termination_class,parsed_answer,parse_status,correct
qwen3vl4b,instruct,169076,L2,2,1,348,2,0,2,280.9,388.9,9.3,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,3255,L3,6,2,348,2,0,2,280.8,389.5,9.2,5.1,8989389312,False,False,complete,5,ok,False
qwen3vl4b,instruct,274066,L3,5,0,348,2,0,2,280.9,389.6,9.2,5.1,8989389312,False,False,complete,4,ok,False
qwen3vl4b,instruct,55167,L3,6,2,348,2,0,2,281.1,389.4,9.2,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,1761,L3,5,0,348,2,0,2,280.8,390.7,9.1,5.1,8989389312,False,False,complete,0,ok,False
qwen3vl4b,instruct,36539,L2,2,0,348,2,0,2,280.6,389.1,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,74200,L3,6,2,348,2,0,2,280.9,389.2,9.2,5.1,8989389312,False,False,complete,0,ok,False
qwen3vl4b,instruct,180487,L2,2,1,348,2,0,2,280.9,389.7,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,83172,L2,3,0,348,2,0,2,280.8,389.6,9.2,5.1,8989389312,False,False,complete,3,ok,True
qwen3vl4b,instruct,18150,L2,2,2,348,2,0,2,280.8,389.0,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,180487,L2,2,2,348,2,0,2,283.2,392.1,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,31093,L2,3,0,348,2,0,2,281.2,390.2,9.2,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,169076,L2,2,0,348,2,0,2,281.0,390.9,9.1,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,201426,L2,2,0,348,2,0,2,281.0,390.0,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,1761,L3,5,2,348,2,0,2,281.2,389.9,9.2,5.1,8989389312,False,False,complete,0,ok,False
qwen3vl4b,instruct,111086,L3,4,1,348,2,0,2,280.7,389.3,9.2,5.1,8989389312,False,False,complete,0,ok,False
qwen3vl4b,instruct,62355,L3,5,0,348,2,0,2,280.6,389.6,9.2,5.1,8989389312,False,False,complete,4,ok,False
qwen3vl4b,instruct,188296,L3,7,2,348,2,0,2,280.9,390.0,9.2,5.1,8989389312,False,False,complete,8,ok,False
qwen3vl4b,instruct,173799,L2,2,2,348,2,0,2,280.9,390.4,9.1,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,114049,L3,6,0,348,2,0,2,280.7,389.5,9.2,5.1,8989389312,False,False,complete,5,ok,False
qwen3vl4b,instruct,2006,L2,3,2,348,2,0,2,281.0,389.1,9.2,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,89296,L2,2,2,348,2,0,2,281.0,389.4,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,127270,L3,5,1,348,2,0,2,280.7,389.3,9.2,5.1,8989389312,False,False,complete,6,ok,False
qwen3vl4b,instruct,154087,L3,4,2,348,2,0,2,281.0,388.9,9.3,5.1,8989389312,False,False,complete,5,ok,False
qwen3vl4b,instruct,62355,L3,5,2,348,2,0,2,281.0,389.9,9.2,5.1,8989389312,False,False,complete,4,ok,False
qwen3vl4b,instruct,36936,L2,2,1,348,2,0,2,280.9,389.1,9.2,5.1,8989389312,False,False,complete,2,ok,True
qwen3vl4b,instruct,74200,L3,6,0,348,2,0,2,281.4,389.4,9.3,5.1,8989389312,False,False,complete,0,ok,False
qwen3vl4b,instruct,111086,L3,4,2,348,2,0,2,281.0,390.3,9.1,5.1,8989389312,False,False,complete,0,ok,False
qwen3vl4b,instruct,117425,L2,3,0,348,2,0,2,280.9,390.1,9.2,5.1,8989389312,False,False,complete,2,ok,False
qwen3vl4b,instruct,32334,L3,5,1,348,2,0,2,281.0,394.1,8.8,5.1,8989389312,False,False,complete,5,ok,True
