quantity,value,source_file,how_obtained,conditions,n_spread,cross_checked,status,claim_linkage,notes
KV bytes per token,57344 B/tok,results/cost/cost_matrix.csv,"kv_bytes/L_tokens at L=1k: 58720256/1024","qwen7b; a6000","consistent across all L","E21/E22/E23 converge on same value",VERIFIED,E30 capacity calculation,"57 KB/tok shorthand used throughout"
A6000 usable VRAM for KV,32.6 GB,results/cost/cost_matrix.csv + spec,"48 GB (spec) minus 15.46 GB model weights (cost_matrix.csv peak_mem_gb at L=1k minus KV(1k)≈0.06GB)","qwen7b; A6000","stable across L","consistent with phase1 report",VERIFIED,E30 memory capacity table,
win-10 token count (fidelity definition — PAPER SETTING),7275 tokens (median),data/locomo/locomo10.json,"computed: split by session_N keys; take last 10 sessions; sum character count / 4 chars/tok","n=10 locomo conversations","range 5597-8548","—",VERIFIED,E30 win-10 memory capacity rows (SUPERSEDES),This is the CORRECT value for papers fidelity experiments
win-10 token count (cost profile definition),261-488 tokens,results/cost/profiles/a6000_qwen7b.json,"measured: last 10 individual turns of assembled corpus; window_tokens field in JSON","qwen7b; a6000; L in {1k-64k}","range 261-488 across L","—",VERIFIED,E30 WINDOW_TOKENS=400 basis (WRONG DEFINITION),WINDOW_TURNS=10 picks last 10 utterances not sessions
E30 WINDOW_TOKENS,400,experiments/cost/e30_capacity.py,"hardcoded as midpoint of 261-488 range from cost profile","n/a","n/a","CONFLICTS: fidelity win-10 = 7275 tokens (18x larger)",SUPERSEDED,E30 win-10 N_memory=1421,"Used cost-profile definition; should use fidelity definition"
E30 N_memory(win10 A6000),1421 sessions,results/cost/e30_capacity/binding_crossover.csv,"32.6GB / (400tok × 57344 B/tok) = 32.6GB / 22.9MB","wrong win-10 definition","—","corrected value = 78 sessions",SUPERSEDED,E30 binding conclusion,"65x larger than correct value"
Corrected N_memory(win10 A6000),78 sessions,THIS AUDIT,"32.6GB / (7275tok × 57344 B/tok) = 32.6GB / 0.417GB","correct win-10 definition","—","recomputed",VERIFIED (recomputed),E30 binding conclusion,"replaces 1421"
E30 win-10 restore_ms used,~65 ms,results/cost/cost_matrix.csv (window row),"restore_ms for window representation at L=8k","qwen7b; a6000; window=10 TURNS","62-98ms across L","—",WRONG DEFINITION,"E30 accelerator demand for win-10","Used 10-turn window restore; correct win-10 (7275 tok) would take ~1292ms"
Corrected win-10 restore_ms,~1292 ms,results/cost/cost_matrix.csv (incr_cold row),"linear interpolation between incr_cold at L=4k (717ms) and L=8k (1458ms) for 7275 tokens","qwen7b; a6000; cold prefill","~±200ms from interpolation","—",ESTIMATED (interpolated),E30 accelerator demand for win-10 (corrected),"Not directly measured at exactly 7275 tokens"
Corrected N_accel(win10 A6000 ri=60s),~46 sessions,THIS AUDIT,"60000ms / 1292ms (corrected restore_ms)","correct win-10 definition; ri=60s","—","recomputed",VERIFIED (recomputed),E30 binding crossover for win-10,"E30 reported N_accel=923 at ri=60s (used 65ms restore)"
