term,workload,definition_source_file,definition_source_line,concrete_value,units,status,notes
win-10,locomo (fidelity experiments),experiments/fidelity/frontier_locomo.py,"18, 221",last 10 sessions (or all if <10),sessions,CANONICAL,"Computed as: sessions = split_by_session(full_text); return last 10. Median 7275 tokens on locomo10.json (range 5597-8548). This is the PAPER DEFINITION."
win-10,locomo (cost profile),experiments/cost/cost_profile.py,75,last 10 turns (WINDOW_TURNS=10),turns,MISNAMED,"Computed as: turns[-10:] where turns = individual speaker utterances ~26-49 tokens each. Measured 261-488 tokens across L on a6000_qwen7b.json."
win-10,e30 capacity,experiments/cost/e30_capacity.py,75,WINDOW_TOKENS=400,tokens,WRONG,"Uses cost-profile definition (last 10 turns), not fidelity definition (last 10 sessions). 18x smaller than paper definition. All E30 win-10 rows are invalidated."
sum-80,all,experiments/fidelity/frontier_locomo.py,~85,80-token budget passed to summarizer,tokens,CANONICAL,"Measured output on locomo: ~51 tokens actual (budget determines compute cost in E30). Text representation only."
sum-200,all,experiments/fidelity/frontier_locomo.py,~85,200-token budget passed to summarizer,tokens,CANONICAL,"Measured output on locomo: ~113 tokens actual (budget determines compute cost in E30). Text representation only."
full,all,experiments/fidelity/frontier_locomo.py,"~70, ~220",complete text of all prior sessions concatenated,tokens,CANONICAL,"Median 20470 tokens on locomo10.json (4 chars/tok estimate; range 11404-23510). Full replay."
blind,all,experiments/fidelity/frontier_locomo.py,~70,no prior context passed to model,tokens,CANONICAL,0 tokens. Baseline condition.
turn (fidelity context),locomo,experiments/fidelity/frontier_locomo.py,18,"one session block (session_N key in locomo JSON, multi-exchange conversation day)",session,CANONICAL,"LoCoMo sessions are full conversation days. Median 22 turns/session. 'Turn' used loosely in fidelity scripts to mean session."
turn (cost profile context),locomo,experiments/cost/cost_profile.py,~120,"individual speaker utterance in assembled corpus",utterance,DISTINCT FROM FIDELITY,"~26-49 tokens each. WINDOW_TURNS=10 picks last 10 of these, not last 10 sessions."
session,locomo,data/locomo/locomo10.json,—,one session_N block (multi-exchange conversation day),—,CANONICAL,"n=10 conversations. Median 29 sessions/conv (range 19-32). Median 22 turns/session (individual utterances)."
reachable,Irish 5G (E31b corrected),experiments/cost/e31b_network.py,~210,cell_id != '-1' (has a serving cell),—,VALID,"14.4% of 28551 timesteps have cell_id=-1 (no-cell). 85.6% reachable. cell_id=-1 is a genuine radio-layer signal."
reachable,Irish 5G (E31 original),experiments/cost/e31_network.py,~150,State=D (application download active),—,INVALID PROXY,"State=I reflects app idle not radio disconnection. E31b invalidated all E31 Part C results using this proxy."
stale-by-N,locomo (E32),experiments/fidelity/e32_staleness.py,~80,N missing individual turns (speaker utterances),turns,CANONICAL in E32,"N=100 turns ≈ 4.4 sessions (median 22 turns/session). Delta tokens at N=100: median 2993 tokens."
cold-prefill,cost profile,results/cost/cost_matrix.csv,— (restore_ms for full/incr_cold),"TTFT from empty KV; fresh model load","ms","CANONICAL","Measured at L in {1k,2k,4k,8k,16k,24k,32k,49k,64k} on A6000. At L=8k: 1369ms (full), 1458ms (incr_cold)."
warm-append (E32),E32,experiments/fidelity/e32_staleness.py,~200,"TTFT extending stale KV cache with delta tokens — DISPUTED (cache artifact)","ms","DISPUTED","E32 measures constant ~82ms across N=1 (delta=20tok) to N=100 (delta=2993tok). Per-conversation latency flat to <0.5% variation. Not a true warm-append computation."
warm-append (cost_matrix),cost profile,results/cost/cost_matrix.csv,— (incr_warm restore_ms),"TTFT adding L tokens to empty KV then measuring","ms","CANONICAL","Measured at various L. At L=8k: 62.67ms for 8192 tokens (not delta). Different measurement condition from E32."
refresh (sum-80/sum-200),cost profile,results/cost/cost_matrix.csv,— (update_ms where update_corrected=1),"Time to generate new summary from full context","ms","CANONICAL","update_corrected=1 means one-time cost (not amortized). sum-80 at L=8k: 4804ms; sum-200: 9565ms."
materialize,cost profile,results/cost/cost_matrix.csv,— (restore_ms),"Re-prefill from text representation to produce KV cache","ms","CANONICAL","restore_ms column. full at L=8k: 1369ms. sum-80: ~29ms. sum-200: ~32ms. window (10-turn): ~62ms."
